"freq"	"ch 1"
917.0	-150.08
918.0	-147.47
919.0	-148.21
920.0	-153.13
921.0	-148.61
922.0	-149.52
923.0	-151.02
924.0	-152.21
925.0	-148.01
926.0	-150.97
927.0	-162.98
928.0	-157.18
929.0	-157.85
930.0	-165.43
931.0	-157.9
932.0	-151.38
933.0	-145.91
934.0	-147.54
935.0	-153.56
936.0	-163.01
937.0	-154.51
938.0	-153.39
939.0	-147.81
940.0	-158.73
941.0	-151.83
942.0	-154.28
943.0	-149.23
944.0	-152.82
945.0	-159.29
946.0	-159.17
947.0	-161.23
948.0	-151.19
949.0	-151.01
950.0	-152.97
951.0	-151.67
952.0	-148.83
953.0	-149.52
954.0	-152.95
955.0	-156.2
956.0	-164.93
957.0	-157.46
958.0	-149.51
959.0	-160.77
960.0	-145.66
961.0	-144.92
962.0	-149.99
963.0	-153.1
964.0	-148.17
965.0	-150.66
966.0	-150.45
967.0	-144.49
968.0	-153.22
969.0	-146.63
970.0	-146.74
971.0	-158.43
972.0	-169.05
973.0	-151.81
974.0	-145.79
975.0	-151.41
976.0	-157.7
977.0	-154.34
978.0	-155.39
979.0	-160.29
980.0	-154.7
981.0	-156.76
982.0	-171.51
983.0	-152.76
984.0	-149.75
985.0	-153.55
986.0	-156.96
987.0	-162.37
988.0	-154.12
989.0	-152.78
990.0	-149.02
991.0	-147.86
992.0	-148.83
993.0	-150.91
994.0	-156.61
995.0	-161.29
996.0	-167.3
997.0	-159.61
998.0	-151.58
999.0	-152.72
1000.0	-149.27
1001.0	-153.64
1002.0	-158.56
1003.0	-150.75
1004.0	-147.95
1005.0	-157.67
1006.0	-155.89
1007.0	-151.26
1008.0	-152.46
1009.0	-159.49
1010.0	-152.51
1011.0	-162.83
1012.0	-155.98
1013.0	-149.66
1014.0	-148.16
1015.0	-152.93
1016.0	-148.12
1017.0	-146.27
1018.0	-148.87
1019.0	-155.84
1020.0	-170.0
1021.0	-157.96
1022.0	-150.78
1023.0	-153.47
1024.0	-159.69
1025.0	-168.06
1026.0	-165.85
1027.0	-153.85
1028.0	-150.71
1029.0	-156.06
1030.0	-160.28
1031.0	-148.47
1032.0	-147.09
1033.0	-152.53
1034.0	-163.12
1035.0	-157.94
1036.0	-164.12
1037.0	-165.6
1038.0	-158.5
1039.0	-151.13
1040.0	-149.59
1041.0	-153.04
1042.0	-164.29
1043.0	-149.19
1044.0	-149.9
1045.0	-157.58
1046.0	-153.46
1047.0	-151.39
1048.0	-150.52
1049.0	-161.24
1050.0	-153.15
1051.0	-157.72
1052.0	-153.87
1053.0	-152.8
1054.0	-155.23
1055.0	-156.65
1056.0	-151.14
1057.0	-154.32
1058.0	-158.82
1059.0	-151.97
1060.0	-151.73
1061.0	-154.44
1062.0	-147.05
1063.0	-149.7
1064.0	-158.63
1065.0	-161.93
1066.0	-149.57
1067.0	-150.07
1068.0	-165.51
1069.0	-156.04
1070.0	-167.35
1071.0	-154.63
1072.0	-153.5
1073.0	-148.59
1074.0	-145.74
1075.0	-154.98
1076.0	-158.86
1077.0	-161.26
1078.0	-154.62
1079.0	-162.27
1080.0	-156.89
1081.0	-155.76
1082.0	-151.8
1083.0	-150.93
1084.0	-151.43
1085.0	-153.46
1086.0	-151.14
1087.0	-156.65
1088.0	-154.32
1089.0	-149.57
1090.0	-152.53
1091.0	-153.8
1092.0	-144.91
1093.0	-145.56
1094.0	-150.07
1095.0	-156.3
1096.0	-153.26
1097.0	-160.39
1098.0	-152.69
1099.0	-153.06
1100.0	-155.21
1101.0	-165.3
1102.0	-172.8
1103.0	-160.6
1104.0	-150.93
1105.0	-153.05
1106.0	-157.06
1107.0	-153.02
1108.0	-151.77
1109.0	-152.75
1110.0	-155.82
1111.0	-148.84
1112.0	-153.65
1113.0	-149.69
1114.0	-176.41
1115.0	-149.12
1116.0	-151.4
1117.0	-151.91
1118.0	-155.9
1119.0	-153.42
1120.0	-157.87
1121.0	-153.6
1122.0	-161.19
1123.0	-150.6
1124.0	-150.53
1125.0	-154.77
1126.0	-150.96
1127.0	-152.53
1128.0	-157.37
1129.0	-155.42
1130.0	-152.65
1131.0	-158.41
1132.0	-159.26
1133.0	-155.78
1134.0	-149.45
1135.0	-145.52
1136.0	-148.36
1137.0	-154.03
1138.0	-145.71
1139.0	-144.03
1140.0	-156.21
1141.0	-151.74
1142.0	-154.24
1143.0	-150.85
1144.0	-150.43
1145.0	-150.85
1146.0	-150.82
1147.0	-149.58
1148.0	-149.72
1149.0	-150.79
1150.0	-152.21
1151.0	-150.51
1152.0	-152.88
1153.0	-146.11
1154.0	-149.76
1155.0	-147.02
1156.0	-148.51
1157.0	-151.97
1158.0	-158.05
1159.0	-151.12
1160.0	-149.68
1161.0	-159.88
1162.0	-155.44
1163.0	-149.18
1164.0	-144.35
1165.0	-147.26
1166.0	-161.19
1167.0	-150.07
1168.0	-147.31
1169.0	-143.55
1170.0	-146.5
1171.0	-151.75
1172.0	-149.94
1173.0	-146.13
1174.0	-147.88
1175.0	-153.53
1176.0	-157.37
1177.0	-160.1
1178.0	-155.41
1179.0	-154.11
1180.0	-155.57
1181.0	-162.23
1182.0	-164.6
1183.0	-152.28
1184.0	-158.44
1185.0	-150.22
1186.0	-147.9
1187.0	-150.04
1188.0	-162.18
1189.0	-154.76
1190.0	-153.79
1191.0	-150.88
1192.0	-153.4
1193.0	-160.27
1194.0	-162.52
1195.0	-150.89
1196.0	-148.33
1197.0	-155.02
1198.0	-152.66
1199.0	-151.42
1200.0	-151.84
1201.0	-158.4
1202.0	-148.66
1203.0	-148.45
1204.0	-152.02
1205.0	-153.74
